//sampling segunda coluna, led na terceira
29,38744,0
34,82800,0
34,126968,0
39,171248,0
34,215544,0
34,259824,0
39,304096,0
34,348376,0
34,392648,0
34,436928,0
34,481192,0
34,525480,0
34,569744,0
34,614024,0
39,658320,0
34,702592,0
34,746888,0
34,791168,0
34,835456,0
34,879736,0
29,924008,0
34,968280,0
39,1012600,0
34,1057048,0
29,1101488,0
34,1145936,0
34,1190376,0
34,1234816,0
34,1279272,0
34,1323712,0
34,1368160,0
29,1412600,0
34,1457040,0
39,1501488,0
34,1545928,0
39,1590376,0
39,1634816,0
34,1679256,0
34,1723704,0
29,1768144,0
39,1812592,0
34,1857032,0
39,1901472,0
39,1945920,0
39,1990360,0
34,2034808,0
34,2079248,0
39,2123688,0
34,2168136,0
34,2212576,0
34,2257024,0
34,2301464,0
34,2345904,0
39,2390352,0
29,2434792,0
34,2479248,0
34,2523688,0
34,2568128,0
39,2612576,0
29,2657016,0
39,2701464,0
34,2745904,0
39,2790344,0
39,2834792,0
34,2879232,0
29,2923688,0
34,2968128,0
39,3012568,0
34,3057016,0
34,3101456,0
39,3145904,0
34,3190344,0
39,3234784,0
34,3279232,0
34,3323672,0
39,3368120,0
39,3412560,0
34,3457000,0
34,3501448,0
29,3545888,0
29,3590336,0
29,3634776,0
34,3679216,0
39,3723664,0
34,3768104,0
34,3812552,0
34,3856992,0
34,3901432,0
34,3945880,0
34,3990320,0
39,4034768,0
34,4079208,0
29,4123660,0
34,4168104,0
34,4212544,0
34,4256992,0
34,4301432,0
39,4345876,0
39,4390320,0
29,4434760,0
29,4479208,0
34,4523648,0
34,4568092,0
39,4612536,0
39,4656976,0
34,4701424,0
29,4745864,0
29,4790312,0
34,4834760,0
34,4879200,0
39,4923648,0
34,4968088,0
34,5012536,0
34,5056976,0
34,5101424,0
34,5145872,0
39,5190312,0
29,5234760,0
34,5279200,0
34,5323640,0
34,5368088,0
34,5412528,0
34,5456976,0
34,5501416,0
34,5545856,0
1402,5590640,50
1681,5635600,50
1739,5680560,50
1779,5725520,50
1793,5770480,50
